country,year,expenditureShare
Brazil,2000,3.94893
Brazil,2001,3.84468
Brazil,2002,3.75037
Brazil,2004,3.97448
Brazil,2005,4.47908
Brazil,2006,4.8706
Brazil,2007,4.97426
Brazil,2008,5.26884
Brazil,2009,5.46355
Brazil,2010,5.6488
Brazil,2011,5.73741
Brazil,2012,5.8551
Brazil,2013,5.83885
Brazil,2014,5.94848
Brazil,2015,6.24106
Brazil,2016,6.31404
Brazil,2017,6.32048
Brazil,2018,6.08851
Brazil,2019,5.96347
Brazil,2020,5.7715
Canada,2000,5.42332
Canada,2001,4.95303
Canada,2002,4.99308
Canada,2005,4.76588
Canada,2007,4.76641
Canada,2008,4.62612
Canada,2009,4.84058
Canada,2010,5.35637
Canada,2011,5.26205
Canada,2012,4.6925874
Canada,2013,4.58901
Canada,2014,4.84359
Canada,2015,4.73938
Canada,2016,4.81642
Canada,2017,4.95997
Canada,2018,4.88898
Canada,2019,4.77293
Canada,2020,4.88795
Finland,2000,5.7093
Finland,2001,5.84025
Finland,2002,6.01678
Finland,2003,6.16744
Finland,2004,6.15758
Finland,2005,6.02507
Finland,2006,5.92838
Finland,2007,5.67126
Finland,2008,5.8301
Finland,2009,6.45956
Finland,2010,6.50445
Finland,2011,6.44505
Finland,2012,7.14804
Finland,2013,7.12404
Finland,2014,7.10237
Finland,2015,7.03208
Finland,2016,6.85153
Finland,2017,6.36311
Finland,2018,6.27558
Finland,2019,6.41695
Finland,2020,6.63494
Japan,2000,3.46012
Japan,2001,3.40082
Japan,2002,3.40899
Japan,2003,3.46663
Japan,2004,3.42611
Japan,2005,3.31494
Japan,2006,3.27668
Japan,2007,3.27934
Japan,2008,3.27242
Japan,2009,3.5559778
Japan,2010,3.59952
Japan,2011,3.60528
Japan,2012,3.64742
Japan,2013,3.62497
Japan,2014,3.55159
Japan,2015,3.2290254
Japan,2016,3.14643
Japan,2017,3.13058
Japan,2018,3.07782
Japan,2019,3.15534
Japan,2020,3.416981
Kenya,2000,5.18673
Kenya,2001,5.20621
Kenya,2002,6.172
Kenya,2003,6.49427
Kenya,2004,6.79693
Kenya,2005,7.33565
Kenya,2006,7.04984
Kenya,2009,4.02
Kenya,2010,4.81549
Kenya,2011,4.70013
Kenya,2012,4.93121
Kenya,2013,4.83721
Kenya,2014,4.7173
Kenya,2015,4.7435
Kenya,2016,4.89518
Kenya,2017,4.96309
Kenya,2018,5.10762
Kenya,2019,4.5779924
Kenya,2020,4.6281557
New Zealand,2000,5.604424
New Zealand,2005,5.789812
New Zealand,2008,6.186127
New Zealand,2009,6.501763
New Zealand,2010,6.507683
New Zealand,2011,6.270788
New Zealand,2012,6.169361
New Zealand,2013,5.888688
New Zealand,2014,5.809233
New Zealand,2015,5.708623
New Zealand,2016,5.504284
New Zealand,2017,5.27021
New Zealand,2018,5.183809
New Zealand,2019,5.17203
New Zealand,2020,5.667323
